chord	chordCount	songTitle	key	artist	album
2m	9	Meet on the Ledge	F	Greta Van Fleet	From the Fires
6m	10	Meet on the Ledge	F	Greta Van Fleet	From the Fires
5	29	Meet on the Ledge	F	Greta Van Fleet	From the Fires
3m	5	Meet on the Ledge	F	Greta Van Fleet	From the Fires
2	5	Meet on the Ledge	F	Greta Van Fleet	From the Fires
4	14	Meet on the Ledge	F	Greta Van Fleet	From the Fires
1	14	Meet on the Ledge	F	Greta Van Fleet	From the Fires
6m	32	Talk on the Street	Ab	Greta Van Fleet	From the Fires
5	41	Talk on the Street	Ab	Greta Van Fleet	From the Fires
2	23	Talk on the Street	Ab	Greta Van Fleet	From the Fires
4	42	Talk on the Street	Ab	Greta Van Fleet	From the Fires
1	17	Talk on the Street	Ab	Greta Van Fleet	From the Fires
5/2	16	Talk on the Street	Ab	Greta Van Fleet	From the Fires
1	8	Highway Tune	E	Greta Van Fleet	From the Fires
4	3	Highway Tune	E	Greta Van Fleet	From the Fires
5	3	Highway Tune	E	Greta Van Fleet	From the Fires
4	9	A Change Is Gonna Come	C	Greta Van Fleet	From the Fires
3	9	A Change Is Gonna Come	C	Greta Van Fleet	From the Fires
6m	18	A Change Is Gonna Come	C	Greta Van Fleet	From the Fires
1	9	A Change Is Gonna Come	C	Greta Van Fleet	From the Fires
2m	12	A Change Is Gonna Come	C	Greta Van Fleet	From the Fires
5	1	A Change Is Gonna Come	C	Greta Van Fleet	From the Fires
1	41	Safari Song	A	Greta Van Fleet	From the Fires
b7	42	Safari Song	A	Greta Van Fleet	From the Fires
4	42	Safari Song	A	Greta Van Fleet	From the Fires
1	51	Flower Power	A	Greta Van Fleet	From the Fires
4	50	Flower Power	A	Greta Van Fleet	From the Fires
b6	2	Flower Power	A	Greta Van Fleet	From the Fires
b7	21	Flower Power	A	Greta Van Fleet	From the Fires
6m	18	Edge of Darkness	A	Greta Van Fleet	From the Fires
1	34	Edge of Darkness	A	Greta Van Fleet	From the Fires
4	36	Edge of Darkness	A	Greta Van Fleet	From the Fires
5	6	Edge of Darkness	A	Greta Van Fleet	From the Fires
b7	20	Edge of Darkness	A	Greta Van Fleet	From the Fires
6m	16	Black Smoke Rising	G	Greta Van Fleet	From the Fires
